lr-AdamW/pg1,valid_loss1,lr-AdamW/pg6,lr-AdamW/pg2,lr-AdamW/pg5,lr-AdamW/pg3,epoch,step,valid_loss2,valid_loss,lr-AdamW/pg4,train_loss2,grad_stats.last_layer,grad_stats.min,train_loss1,grad_stats.max,grad_stats.first_layer,train_loss
0.00025,,0.00025,0.00025,0.00025,0.00025,,0,,,0.00025,,,,,,,
,0.5509424805641174,,,,,0,17,0.9985212087631226,1.5494636297225952,,,,,,,,
,,,,,,0,17,,,,1.0013128519058228,0.013466046191751957,0.006819744128733873,0.7249788641929626,0.16142314672470093,0.02173575758934021,1.726291537284851
0.0002503864053347104,,0.0002503864053347104,0.0002503864053347104,0.0002503864053347104,0.0002503864053347104,,18,,,0.0002503864053347104,,,,,,,
,0.3585899770259857,,,,,1,35,0.9965837597846985,1.3551737070083618,,,,,,,,
,,,,,,1,35,,,,0.997675359249115,0.0027021465357393026,0.0007096329936757684,0.45575734972953796,0.01467803306877613,0.004825177136808634,1.4534327983856201
0.00025154323239351845,,0.00025154323239351845,0.00025154323239351845,0.00025154323239351845,0.00025154323239351845,,36,,,0.00025154323239351845,,,,,,,
,0.2517436742782593,,,,,2,53,0.996639609336853,1.2483832836151123,,,,,,,,
,,,,,,2,53,,,,0.997414767742157,0.001907904865220189,0.0005809112917631865,0.3071315586566925,0.007464060094207525,0.00328633445315063,1.3045462369918823
0.0002534633291100745,,0.0002534633291100745,0.0002534633291100745,0.0002534633291100745,0.0002534633291100745,,54,,,0.0002534633291100745,,,,,,,
,0.18908816576004028,,,,,3,71,0.9958080053329468,1.1848961114883423,,,,,,,,
,,,,,,3,71,,,,0.9972814321517944,0.002157208975404501,0.0006178056937642395,0.22676746547222137,0.0075857387855648994,0.004140329547226429,1.2240488529205322
0.0002561348245145474,,0.0002561348245145474,0.0002561348245145474,0.0002561348245145474,0.0002561348245145474,,72,,,0.0002561348245145474,,,,,,,
,0.14973793923854828,,,,,4,89,0.9947510957717896,1.1444889307022095,,,,,,,,
,,,,,,4,89,,,,0.9965989589691162,0.002017977647483349,0.0007091405568644404,0.1748640537261963,0.007168488577008247,0.0037194692995399237,1.171463131904602
0.00025954120212572215,,0.00025954120212572215,0.00025954120212572215,0.00025954120212572215,0.00025954120212572215,,90,,,0.00025954120212572215,,,,,,,
,0.1250455230474472,,,,,5,107,0.9970601201057434,1.122105598449707,,,,,,,,
,,,,,,5,107,,,,0.9966745972633362,0.004076928831636906,0.0012091072276234627,0.14226973056793213,0.014040876179933548,0.007718846667557955,1.1389442682266235
0.0002636614020639028,,0.0002636614020639028,0.0002636614020639028,0.0002636614020639028,0.0002636614020639028,,108,,,0.0002636614020639028,,,,,,,
,0.12944404780864716,,,,,6,125,0.9962669610977173,1.1257109642028809,,,,,,,,
,,,,,,6,125,,,,0.9967896342277527,0.005547313019633293,0.0017536545637995005,0.12920893728733063,0.019924690946936607,0.010063985362648964,1.125998616218567
0.0002684699512533104,,0.0002684699512533104,0.0002684699512533104,0.0002684699512533104,0.0002684699512533104,,126,,,0.0002684699512533104,,,,,,,
,0.13778607547283173,,,,,7,143,0.9958306550979614,1.1336166858673096,,,,,,,,
,,,,,,7,143,,,,0.9967881441116333,0.008015535771846771,0.0024080148432403803,0.13137899339199066,0.027304718270897865,0.013403207063674927,1.1281671524047852
0.00027393712090900083,,0.00027393712090900083,0.00027393712090900083,0.00027393712090900083,0.00027393712090900083,,144,,,0.00027393712090900083,,,,,,,
,0.12447618693113327,,,,,8,161,0.9948393702507019,1.119315505027771,,,,,,,,
,,,,,,8,161,,,,0.9968854784965515,0.009946218691766262,0.0029319452587515116,0.13850845396518707,0.03268284350633621,0.013712402433156967,1.1353939771652222
0.00028002911033464257,,0.00028002911033464257,0.00028002911033464257,0.00028002911033464257,0.00028002911033464257,,162,,,0.00028002911033464257,,,,,,,
,0.13301891088485718,,,,,9,179,0.995197594165802,1.1282165050506592,,,,,,,,
,,,,,,9,179,,,,0.9967056512832642,0.015310372225940228,0.004190105013549328,0.14529266953468323,0.043813563883304596,0.016983570531010628,1.1419981718063354
0.00028670825589482637,,0.00028670825589482637,0.00028670825589482637,0.00028670825589482637,0.00028670825589482637,,180,,,0.00028670825589482637,,,,,,,
,0.14284257590770721,,,,,10,197,0.9958497881889343,1.1386923789978027,,,,,,,,
,,,,,,10,197,,,,0.9954783320426941,0.021859057247638702,0.008408975787460804,0.14066742360591888,0.06930094957351685,0.024946708232164383,1.1361454725265503
0.00029393326386994024,,0.00029393326386994024,0.00029393326386994024,0.00029393326386994024,0.00029393326386994024,,198,,,0.00029393326386994024,,,,,,,
,0.13092322647571564,,,,,11,215,0.9963545799255371,1.1272778511047363,,,,,,,,
,,,,,,11,215,,,,0.9966590404510498,0.022615762427449226,0.007890082895755768,0.1386260837316513,0.07471664994955063,0.02618924155831337,1.1352850198745728
0.00030165946575398553,,0.00030165946575398553,0.00030165946575398553,0.00030165946575398553,0.00030165946575398553,,216,,,0.00030165946575398553,,,,,,,
,0.11038598418235779,,,,,12,233,0.9951635003089905,1.1055494546890259,,,,,,,,
,,,,,,12,233,,,,0.9963420033454895,0.026036715134978294,0.009203392080962658,0.14405058324337006,0.08013603091239929,0.026578398421406746,1.1403924226760864
0.0003098390944169615,,0.0003098390944169615,0.0003098390944169615,0.0003098390944169615,0.0003098390944169615,,234,,,0.0003098390944169615,,,,,,,
,0.153304785490036,,,,,13,251,0.9972255229949951,1.1505303382873535,,,,,,,,
,,,,,,13,251,,,,0.9962034225463867,0.05704310163855553,0.01364508830010891,0.13622291386127472,0.16782625019550323,0.05290945991873741,1.132426381111145
0.00031842157942444705,,0.00031842157942444705,0.00031842157942444705,0.00031842157942444705,0.00031842157942444705,,252,,,0.00031842157942444705,,,,,,,
,0.11849414557218552,,,,,14,269,0.9967549443244934,1.1152490377426147,,,,,,,,
,,,,,,14,269,,,,0.9967640042304993,0.04401170089840889,0.01387118361890316,0.1370825469493866,0.11428199708461761,0.04672298952937126,1.1338467597961426
0.00032735385968857066,,0.00032735385968857066,0.00032735385968857066,0.00032735385968857066,0.00032735385968857066,,270,,,0.00032735385968857066,,,,,,,
