lr-AdamW/pg1,step,epoch,valid_loss,lr-AdamW/pg4,lr-AdamW/pg2,lr-AdamW/pg5,lr-AdamW/pg6,valid_loss2,lr-AdamW/pg3,valid_loss1,grad_stats.max,grad_stats.last_layer,train_loss1,train_loss2,train_loss,grad_stats.first_layer,grad_stats.min
0.00025,0,,,0.00025,0.00025,0.00025,0.00025,,0.00025,,,,,,,,
,17,0,1.5018997192382812,,,,,1.0003012418746948,,0.5015984773635864,,,,,,,
,17,0,,,,,,,,,0.15120667219161987,0.03429855406284332,0.6892295479774475,1.0050525665283203,1.6942824125289917,0.06070597469806671,1.809037712519057e-05
0.0002503864053347104,18,,,0.0002503864053347104,0.0002503864053347104,0.0002503864053347104,0.0002503864053347104,,0.0002503864053347104,,,,,,,,
,35,1,1.299521565437317,,,,,0.9996051788330078,,0.29991650581359863,,,,,,,
,35,1,,,,,,,,,0.015678824856877327,0.0028774382080882788,0.3996717929840088,1.0002995729446411,1.3999714851379395,0.0035988506861031055,8.924154144551721e-07
0.00025154323239351845,36,,,0.00025154323239351845,0.00025154323239351845,0.00025154323239351845,0.00025154323239351845,,0.00025154323239351845,,,,,,,,
,53,2,1.2005584239959717,,,,,0.9993204474449158,,0.20123787224292755,,,,,,,
,53,2,,,,,,,,,0.006339418701827526,0.0011158144334331155,0.24940600991249084,0.9998371005058289,1.249243140220642,0.001405405579134822,3.344627828028024e-07
0.0002534633291100745,54,,,0.0002534633291100745,0.0002534633291100745,0.0002534633291100745,0.0002534633291100745,,0.0002534633291100745,,,,,,,,
