lr-AdamW/pg3,step,valid_loss1,valid_loss,lr-AdamW/pg4,lr-AdamW/pg6,lr-AdamW/pg2,epoch,lr-AdamW/pg5,valid_loss2,lr-AdamW/pg1,train_loss1,grad_stats.max,train_loss,train_loss2,grad_stats.last_layer,grad_stats.min,grad_stats.first_layer
0.00025,0,,,0.00025,0.00025,0.00025,,0.00025,,0.00025,,,,,,,
,17,0.5509422421455383,1.5494632720947266,,,,0,,0.9985209703445435,,,,,,,,
,17,,,,,,0,,,,0.7249788641929626,0.1614232063293457,1.7262916564941406,1.0013127326965332,0.013465993106365204,0.006819718983024359,0.021735792979598045
0.0002503864053347104,18,,,0.0002503864053347104,0.0002503864053347104,0.0002503864053347104,,0.0002503864053347104,,0.0002503864053347104,,,,,,,
,35,0.358589768409729,1.3551734685897827,,,,1,,0.9965838193893433,,,,,,,,
,35,,,,,,1,,,,0.45575687289237976,0.014677727594971657,1.4534322023391724,0.997675359249115,0.002702105790376663,0.0007096047047525644,0.004825114738196135
0.00025154323239351845,36,,,0.00025154323239351845,0.00025154323239351845,0.00025154323239351845,,0.00025154323239351845,,0.00025154323239351845,,,,,,,
,53,0.25174349546432495,1.2483829259872437,,,,2,,0.9966394901275635,,,,,,,,
,53,,,,,,2,,,,0.3071316182613373,0.007464072201400995,1.3045463562011719,0.997414767742157,0.001907885423861444,0.0005808925488963723,0.0032863940577954054
0.0002534633291100745,54,,,0.0002534633291100745,0.0002534633291100745,0.0002534633291100745,,0.0002534633291100745,,0.0002534633291100745,,,,,,,
,71,0.18908996880054474,1.184898018836975,,,,3,,0.9958080649375916,,,,,,,,
,71,,,,,,3,,,,0.22676753997802734,0.007585742045193911,1.2240488529205322,0.9972814321517944,0.002157160546630621,0.0006177807226777077,0.004140361677855253
0.0002561348245145474,72,,,0.0002561348245145474,0.0002561348245145474,0.0002561348245145474,,0.0002561348245145474,,0.0002561348245145474,,,,,,,
,89,0.14973798394203186,1.1444891691207886,,,,4,,0.9947510957717896,,,,,,,,
,89,,,,,,4,,,,0.17486369609832764,0.007168912794440985,1.1714627742767334,0.9965989589691162,0.0020180491264909506,0.0007091383449733257,0.003719564527273178
0.00025954120212572215,90,,,0.00025954120212572215,0.00025954120212572215,0.00025954120212572215,,0.00025954120212572215,,0.00025954120212572215,,,,,,,
,107,0.12504573166370392,1.1221058368682861,,,,5,,0.9970600605010986,,,,,,,,
,107,,,,,,5,,,,0.14226976037025452,0.014043167233467102,1.138944387435913,0.9966745972633362,0.004077799152582884,0.0012092854594811797,0.007720348425209522
0.0002636614020639028,108,,,0.0002636614020639028,0.0002636614020639028,0.0002636614020639028,,0.0002636614020639028,,0.0002636614020639028,,,,,,,
,125,0.12944439053535461,1.1257113218307495,,,,6,,0.9962669610977173,,,,,,,,
,125,,,,,,6,,,,0.12920910120010376,0.0199268888682127,1.125998854637146,0.9967896342277527,0.005547699518501759,0.0017536883242428303,0.010064870119094849
0.0002684699512533104,126,,,0.0002684699512533104,0.0002684699512533104,0.0002684699512533104,,0.0002684699512533104,,0.0002684699512533104,,,,,,,
