epoch,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg5,lr-AdamW/pg4,valid_loss,valid_loss1,valid_loss2,step,lr-AdamW/pg6,lr-AdamW/pg1,grad_stats.first_layer,grad_stats.min,grad_stats.last_layer,grad_stats.max,train_loss,train_loss1,train_loss2
,0.00025,0.00025,0.00025,0.00025,,,,0,0.00025,0.00025,,,,,,,
0,,,,,1.8960365056991577,0.904279887676239,0.9917564392089844,0,,,,,,,,,
0,,,,,,,,0,,,0.06696043163537979,0.01831580325961113,0.044977303594350815,0.7255542278289795,2.0385165214538574,1.033347249031067,1.005169153213501
,0.00025040533648322376,0.00025040533648322376,0.00025040533648322376,0.00025040533648322376,,,,1,0.00025040533648322376,0.00025040533648322376,,,,,,,
1,,,,,1.5990406274795532,0.8389419913291931,0.7600986361503601,1,,,,,,,,,
1,,,,,,,,1,,,0.06135202944278717,0.016131673008203506,0.03745265677571297,0.5832656621932983,1.8440077304840088,0.9101474285125732,0.9338603615760803
,0.0002516187171702609,0.0002516187171702609,0.0002516187171702609,0.0002516187171702609,,,,2,0.0002516187171702609,0.0002516187171702609,,,,,,,
2,,,,,1.786571979522705,0.8011453747749329,0.9854266047477722,2,,,,,,,,,
2,,,,,,,,2,,,0.024331284686923027,0.006443656515330076,0.01708943396806717,0.257108598947525,1.7162373065948486,0.8353186845779419,0.880918562412262
,0.0002536322728217435,0.0002536322728217435,0.0002536322728217435,0.0002536322728217435,,,,3,0.0002536322728217435,0.0002536322728217435,,,,,,,
3,,,,,1.7426589727401733,0.7617982029914856,0.9808605313301086,3,,,,,,,,,
3,,,,,,,,3,,,0.023543059825897217,0.005492576397955418,0.018466273322701454,0.24608714878559113,1.6794555187225342,0.7978445887565613,0.8816108703613281
,0.00025643294475660684,0.00025643294475660684,0.00025643294475660684,0.00025643294475660684,,,,4,0.00025643294475660684,0.00025643294475660684,,,,,,,
4,,,,,1.7266087532043457,0.7432672381401062,0.9833415150642395,4,,,,,,,,,
4,,,,,,,,4,,,0.017257526516914368,0.0055420598946511745,0.012528507970273495,0.20849701762199402,1.7560465335845947,0.7685533165931702,0.9874932169914246
,0.00026000256954264694,0.00026000256954264694,0.00026000256954264694,0.00026000256954264694,,,,5,0.00026000256954264694,0.00026000256954264694,,,,,,,
5,,,,,1.6454639434814453,0.7209956049919128,0.9244683384895325,5,,,,,,,,,
5,,,,,,,,5,,,0.014662668108940125,0.0037575149908661842,0.014137585647404194,0.17195159196853638,1.6171972751617432,0.7435894012451172,0.8736079335212708
,0.0002643179967933488,0.0002643179967933488,0.0002643179967933488,0.0002643179967933488,,,,6,0.0002643179967933488,0.0002643179967933488,,,,,,,
6,,,,,1.6845932006835938,0.7027165293693542,0.9818766117095947,6,,,,,,,,,
6,,,,,,,,6,,,0.01250260230153799,0.004365234170109034,0.009137626737356186,0.15329211950302124,1.705981969833374,0.7228511571884155,0.9831308722496033
,0.0002693512393070256,0.0002693512393070256,0.0002693512393070256,0.0002693512393070256,,,,7,0.0002693512393070256,0.0002693512393070256,,,,,,,
7,,,,,1.6612640619277954,0.681792676448822,0.9794715046882629,7,,,,,,,,,
7,,,,,,,,7,,,0.006737465970218182,0.0023112152703106403,0.0044740368612110615,0.0718613713979721,1.6809042692184448,0.6999948620796204,0.9809094667434692
,0.0002750696545745624,0.0002750696545745624,0.0002750696545745624,0.0002750696545745624,,,,8,0.0002750696545745624,0.0002750696545745624,,,,,,,
8,,,,,1.6410574913024902,0.6646579504013062,0.9763994812965393,8,,,,,,,,,
8,,,,,,,,8,,,0.00863689836114645,0.002741496544331312,0.005574323236942291,0.08068244159221649,1.667114496231079,0.6820621490478516,0.9850523471832275
,0.0002814361564786124,0.0002814361564786124,0.0002814361564786124,0.0002814361564786124,,,,9,0.0002814361564786124,0.0002814361564786124,,,,,,,
9,,,,,1.6257511377334595,0.6476284265518188,0.978122889995575,9,,,,,,,,,
9,,,,,,,,9,,,0.01002818439155817,0.0023837964981794357,0.008983050473034382,0.08447138965129852,1.5359132289886475,0.6648882627487183,0.871025025844574
,0.00028840945581130005,0.00028840945581130005,0.00028840945581130005,0.00028840945581130005,,,,10,0.00028840945581130005,0.00028840945581130005,,,,,,,
10,,,,,1.608841896057129,0.6297378540039062,0.9791039824485779,10,,,,,,,,,
10,,,,,,,,10,,,0.0038565238937735558,0.0012293552281334996,0.003926340956240892,0.03705164045095444,1.5181231498718262,0.6471936702728271,0.8709295392036438
,0.00029594432805057783,0.00029594432805057783,0.00029594432805057783,0.00029594432805057783,,,,11,0.00029594432805057783,0.00029594432805057783,,,,,,,
11,,,,,1.591941475868225,0.6115708351135254,0.980370819568634,11,,,,,,,,,
11,,,,,,,,11,,,0.0059833405539393425,0.0019861089531332254,0.007356655318289995,0.06799618899822235,1.5008097887039185,0.6305784583091736,0.8702313303947449
,0.00030399190665860554,0.00030399190665860554,0.00030399190665860554,0.00030399190665860554,,,,12,0.00030399190665860554,0.00030399190665860554,,,,,,,
12,,,,,1.5716055631637573,0.5959930419921875,0.975612461566925,12,,,,,,,,,
12,,,,,,,,12,,,0.002863451838493347,0.0015448342310264707,0.0031322313006967306,0.04231451451778412,1.5949418544769287,0.613389253616333,0.9815526604652405
,0.0003125,0.0003125,0.0003125,0.0003125,,,,13,0.0003125,0.0003125,,,,,,,
13,,,,,1.5562677383422852,0.5772020816802979,0.9790656566619873,13,,,,,,,,,
