epoch,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg5,lr-AdamW/pg4,valid_loss,valid_loss1,valid_loss2,step,lr-AdamW/pg6,lr-AdamW/pg1,grad_stats.first_layer,grad_stats.min,grad_stats.last_layer,grad_stats.max,train_loss,train_loss1,train_loss2
13,,,,,,,,13,,,0.00157812493853271,0.0006871041259728372,0.002013157121837139,0.022410688921809196,1.5630452632904053,0.5957732200622559,0.9672720432281494
,0.0003214134298246183,0.0003214134298246183,0.0003214134298246183,0.0003214134298246183,,,,14,0.0003214134298246183,0.0003214134298246183,,,,,,,
14,,,,,1.5377691984176636,0.5605568289756775,0.9772123694419861,14,,,,,,,,,
14,,,,,,,,14,,,0.0014928188174962997,0.000843971676658839,0.001528885797597468,0.020580405369400978,1.5216410160064697,0.5791605710983276,0.9424803853034973
,0.0003306743891196831,0.0003306743891196831,0.0003306743891196831,0.0003306743891196831,,,,15,0.0003306743891196831,0.0003306743891196831,,,,,,,
15,,,,,1.5221452713012695,0.5440016388893127,0.9781435132026672,15,,,,,,,,,
15,,,,,,,,15,,,0.0023941975086927414,0.0011454428313300014,0.002711134497076273,0.028078211471438408,1.4333969354629517,0.5607686042785645,0.8726283311843872
,0.0003402228170104434,0.0003402228170104434,0.0003402228170104434,0.0003402228170104434,,,,16,0.0003402228170104434,0.0003402228170104434,,,,,,,
16,,,,,1.440617561340332,0.5256109237670898,0.915006697177887,16,,,,,,,,,
16,,,,,,,,16,,,0.0022523989900946617,0.0009719338268041611,0.002120635937899351,0.025448713451623917,1.4175212383270264,0.5431863069534302,0.8743349313735962
,0.0003499967882779944,0.0003499967882779944,0.0003499967882779944,0.0003499967882779944,,,,17,0.0003499967882779944,0.0003499967882779944,,,,,,,
17,,,,,1.4883065223693848,0.507628321647644,0.980678141117096,17,,,,,,,,,
17,,,,,,,,17,,,0.00120638613589108,0.0006222460651770234,0.001027777441777289,0.013117708265781403,1.396592617034912,0.5253260731697083,0.8712666034698486
,0.0003599329149680847,0.0003599329149680847,0.0003599329149680847,0.0003599329149680847,,,,18,0.0003599329149680847,0.0003599329149680847,,,,,,,
18,,,,,1.4631924629211426,0.49006009101867676,0.9731324315071106,18,,,,,,,,,
18,,,,,,,,18,,,0.0015366837615147233,0.0008517741807736456,0.001211282447911799,0.01793336309492588,1.4895638227462769,0.5077172517776489,0.9818465709686279
,0.0003699667574863231,0.0003699667574863231,0.0003699667574863231,0.0003699667574863231,,,,19,0.0003699667574863231,0.0003699667574863231,,,,,,,
19,,,,,1.4447835683822632,0.47105732560157776,0.973726212978363,19,,,,,,,,,
19,,,,,,,,19,,,0.0013615898787975311,0.0007315769325941801,0.0012613387079909444,0.014830779284238815,1.3623541593551636,0.489126056432724,0.873228132724762
,0.0003800332425136769,0.0003800332425136769,0.0003800332425136769,0.0003800332425136769,,,,20,0.0003800332425136769,0.0003800332425136769,,,,,,,
20,,,,,1.4319921731948853,0.4532736837863922,0.9787185192108154,20,,,,,,,,,
20,,,,,,,,20,,,0.0014030413003638387,0.0007623635465279222,0.0012179939076304436,0.01511947438120842,1.3434574604034424,0.4715295433998108,0.8719279766082764
,0.0003900670850319154,0.0003900670850319154,0.0003900670850319154,0.0003900670850319154,,,,21,0.0003900670850319154,0.0003900670850319154,,,,,,,
21,,,,,1.411165714263916,0.4344581067562103,0.9767076373100281,21,,,,,,,,,
21,,,,,,,,21,,,0.0010703416774049401,0.0005528548499569297,0.0007901783683337271,0.012236973270773888,1.4354153871536255,0.4532369375228882,0.9821783900260925
,0.00040000321172200555,0.00040000321172200555,0.00040000321172200555,0.00040000321172200555,,,,22,0.00040000321172200555,0.00040000321172200555,,,,,,,
22,,,,,1.388655662536621,0.4185098707675934,0.9701458811759949,22,,,,,,,,,
